datetime,open,high,low,close,volume
2009/7/21 10:00:00,4027,4027,4013,4024,33096
2009/7/21 10:15:00,4024,4028,4021,4027,8936
2009/7/21 11:00:00,4027,4034,4021,4031,33910
2009/7/21 11:30:00,4031,4044,4026,4034,63564
2009/7/21 14:00:00,4035,4040,4028,4035,37740
2009/7/21 14:30:00,4034,4036,4029,4030,22938
2009/7/21 15:00:00,4030,4036,4028,4033,46760
2009/7/22 9:30:00,4044,4054,4035,4049,82022
2009/7/22 10:00:00,4049,4072,4049,4065,95246
2009/7/22 10:15:00,4064,4066,4060,4063,16954
2009/7/22 11:00:00,4063,4080,4062,4078,74944
2009/7/22 11:30:00,4078,4086,4075,4079,54984
2009/7/22 14:00:00,4078,4084,4059,4062,70980
2009/7/22 14:30:00,4061,4072,4060,4069,29914
2009/7/22 15:00:00,4069,4077,4067,4070,44068
2009/7/23 9:30:00,4086,4094,4075,4089,81478
2009/7/23 10:00:00,4089,4106,4088,4106,91674
2009/7/23 10:15:00,4106,4109,4097,4100,34226
2009/7/23 11:00:00,4100,4114,4099,4111,53010
2009/7/23 11:30:00,4112,4115,4107,4114,38326
2009/7/23 14:00:00,4115,4119,4098,4107,63310
2009/7/23 14:30:00,4107,4109,4100,4106,30860
2009/7/23 15:00:00,4106,4123,4103,4121,75160
2009/7/24 9:30:00,4125,4146,4120,4142,102188
2009/7/24 10:00:00,4141,4151,4140,4146,47936
2009/7/24 10:15:00,4146,4154,4145,4150,26446
2009/7/24 11:00:00,4150,4154,4146,4151,34142
2009/7/24 11:30:00,4151,4172,4149,4164,90810
2009/7/24 14:00:00,4164,4167,4156,4163,82134
2009/7/24 14:30:00,4163,4182,4160,4178,64172
2009/7/24 15:00:00,4178,4198,4178,4184,134314
2009/7/27 9:30:00,4197,4260,4179,4253,171152
2009/7/27 10:00:00,4253,4254,4232,4234,121264
2009/7/27 10:15:00,4234,4235,4186,4213,160608
2009/7/27 11:00:00,4213,4218,4193,4194,100324
2009/7/27 11:30:00,4194,4211,4194,4208,73236
2009/7/27 14:00:00,4209,4231,4209,4218,90194
2009/7/27 14:30:00,4218,4225,4216,4224,34892
2009/7/27 15:00:00,4224,4242,4223,4240,94278
2009/7/28 9:30:00,4237,4258,4218,4237,123466
2009/7/28 10:00:00,4235,4252,4235,4243,93588
2009/7/28 10:15:00,4243,4244,4230,4234,52402
2009/7/28 11:00:00,4234,4243,4229,4240,68038
2009/7/28 11:30:00,4240,4252,4237,4244,63412
2009/7/28 14:00:00,4246,4289,4245,4284,182382
2009/7/28 14:30:00,4284,4311,4279,4309,168062
2009/7/28 15:00:00,4309,4334,4307,4330,200264
2009/7/29 9:30:00,4330,4381,4330,4350,301232
2009/7/29 10:00:00,4351,4401,4350,4393,217290
2009/7/29 10:15:00,4394,4394,4380,4383,62850
2009/7/29 11:00:00,4383,4395,4366,4380,192648
2009/7/29 11:30:00,4380,4389,4347,4358,204786
2009/7/29 14:00:00,4360,4369,4332,4361,244570
2009/7/29 14:30:00,4362,4362,4305,4338,214490
2009/7/29 15:00:00,4338,4412,4338,4387,382354
