datetime,open,high,low,close,volume
2008/1/28 10:15:00,23510,23535,23505,23530,1054
2008/1/28 11:00:00,23525,23545,23470,23515,10988
2008/1/28 11:30:00,23515,23520,23430,23445,12694
2008/1/28 14:00:00,23445,23445,23250,23335,27404
2008/1/28 14:30:00,23340,23365,23290,23330,7866
2008/1/28 15:00:00,23330,23425,23300,23400,18656
2008/1/29 9:30:00,23615,23650,23565,23625,27008
2008/1/29 10:00:00,23625,23700,23600,23630,24218
2008/1/29 10:15:00,23625,23670,23610,23645,5542
2008/1/29 11:00:00,23640,23720,23620,23665,12504
2008/1/29 11:30:00,23660,23700,23635,23645,9296
2008/1/29 14:00:00,23640,23720,23635,23705,10170
2008/1/29 14:30:00,23705,23770,23705,23730,15448
2008/1/29 15:00:00,23725,23740,23655,23665,13600
2008/1/30 9:30:00,23815,23830,23515,23605,29504
2008/1/30 10:00:00,23600,23655,23590,23620,15234
2008/1/30 10:15:00,23620,23675,23605,23650,5488
2008/1/30 11:00:00,23650,23660,23590,23620,9274
2008/1/30 11:30:00,23615,23625,23515,23545,11528
2008/1/30 14:00:00,23500,23570,23465,23550,13910
2008/1/30 14:30:00,23550,23630,23540,23615,8488
2008/1/30 15:00:00,23615,23625,23550,23585,15868
2008/1/31 9:30:00,23530,23690,23525,23650,19846
2008/1/31 10:00:00,23650,23660,23560,23610,13794
2008/1/31 10:15:00,23610,23645,23600,23605,3230
2008/1/31 11:00:00,23605,23620,23555,23580,5388
2008/1/31 11:30:00,23585,23600,23485,23520,6128
2008/1/31 14:00:00,23520,23615,23520,23605,8722
2008/1/31 14:30:00,23605,23635,23560,23580,6072
2008/1/31 15:00:00,23580,23625,23565,23625,6368
2008/2/1 9:30:00,23830,23895,23680,23730,24858
2008/2/1 10:00:00,23730,23755,23650,23715,14392
2008/2/1 10:15:00,23715,23740,23705,23710,3998
2008/2/1 11:00:00,23715,23755,23705,23755,6476
2008/2/1 11:30:00,23755,23760,23710,23760,10608
2008/2/1 14:00:00,23820,23985,23775,23955,32848
2008/2/1 14:30:00,23955,23960,23865,23885,15840
2008/2/1 15:00:00,23885,23925,23810,23905,22994
2008/2/4 9:30:00,23905,23925,23830,23875,10686
2008/2/4 10:00:00,23875,23895,23825,23885,8494
2008/2/4 10:15:00,23885,23900,23870,23895,2316
2008/2/4 11:00:00,23900,24050,23900,24000,17566
2008/2/4 11:30:00,24000,24075,23980,24075,6146
2008/2/4 14:00:00,24050,24050,23945,23975,8838
2008/2/4 14:30:00,23970,24030,23950,24030,5484
2008/2/4 15:00:00,24030,24140,24020,24110,21722
2008/2/5 9:30:00,24100,24110,23955,23990,11466
2008/2/5 10:00:00,23990,24020,23910,23920,8970
2008/2/5 10:15:00,23920,23960,23920,23945,2728
2008/2/5 11:00:00,23945,24035,23940,24035,4590
2008/2/5 11:30:00,24030,24050,24005,24020,4566
2008/2/5 14:00:00,24020,24075,23920,24075,7812
2008/2/5 14:30:00,24075,24155,24075,24135,8724
2008/2/5 15:00:00,24140,24150,24070,24150,9842
2008/2/13 9:30:00,24500,24500,24245,24315,14958
2008/2/13 10:00:00,24315,24320,24155,24185,12860
2008/2/13 10:15:00,24185,24205,24170,24195,2058
2008/2/13 11:00:00,24195,24205,24100,24200,6930
2008/2/13 11:30:00,24200,24240,24160,24215,5094
2008/2/13 14:00:00,24215,24220,24125,24150,11308
2008/2/13 14:30:00,24150,24155,24020,24045,11046
2008/2/13 15:00:00,24050,24070,23865,24030,16380
2008/2/14 9:30:00,24200,24220,24060,24150,18506
2008/2/14 10:00:00,24145,24220,24110,24110,10820
2008/2/14 10:15:00,24105,24105,24035,24075,6092
2008/2/14 11:00:00,24075,24095,23620,23805,25774
2008/2/14 11:30:00,23800,23865,23760,23850,12292
2008/2/14 14:00:00,23855,23990,23855,23950,14844
2008/2/14 14:30:00,23950,23975,23865,23935,14966
2008/2/14 15:00:00,23930,23940,23730,23835,22844
2008/2/15 9:30:00,23785,23870,23620,23670,19764
2008/2/15 10:00:00,23670,23770,23650,23680,15628
2008/2/15 10:15:00,23680,23700,23585,23665,9066
2008/2/15 11:00:00,23655,23860,23650,23795,18116
2008/2/15 11:30:00,23800,23815,23675,23695,10518
2008/2/15 14:00:00,23680,23810,23660,23760,11342
2008/2/15 14:30:00,23760,23765,23670,23740,6774
2008/2/15 15:00:00,23740,23805,23710,23805,11548
2008/2/18 9:30:00,23660,23925,23655,23925,19314
2008/2/18 10:00:00,23920,24110,23890,23955,27136
2008/2/18 10:15:00,23955,23995,23930,23975,3810
2008/2/18 11:00:00,23975,24020,23930,23950,9398
2008/2/18 11:30:00,23945,24050,23935,24010,7650
2008/2/18 14:00:00,24015,24155,23990,24145,21996
2008/2/18 14:30:00,24145,24155,24070,24080,12930
2008/2/18 15:00:00,24080,24220,24075,24220,18960
2008/2/19 9:30:00,24500,24550,24235,24330,25904
2008/2/19 10:00:00,24325,24350,24240,24300,13656
2008/2/19 10:15:00,24310,24320,24275,24310,3790
2008/2/19 11:00:00,24310,24400,24125,24175,22704
2008/2/19 11:30:00,24180,24215,24105,24170,13284
2008/2/19 14:00:00,24200,24235,24160,24215,10562
2008/2/19 14:30:00,24220,24220,24090,24180,8520
2008/2/19 15:00:00,24185,24210,24110,24155,13192
2008/2/20 9:30:00,24500,24500,24020,24120,33642
2008/2/20 10:00:00,24125,24180,24065,24130,14198
2008/2/20 10:15:00,24130,24170,24120,24160,3280
